iyear,Attack Count,country_txt
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Iran
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Israel
1979,1,Israel
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Syria
1979,1,Syria
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Israel
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Turkey
1979,1,Iran
1979,1,Iran
1979,1,Lebanon
1979,1,Iran
1979,1,Iran
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Iran
1979,1,Turkey
1979,1,Turkey
1979,1,West Bank and Gaza Strip
1979,1,Lebanon
1979,1,Israel
1979,1,Turkey
1979,1,Syria
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Lebanon
1979,1,Lebanon
1979,1,Israel
1979,1,Iran
1979,1,Syria
1979,1,Israel
1979,1,Israel
1979,1,Iran
1979,1,Israel
1979,1,Lebanon
1979,1,Turkey
1979,1,Turkey
1979,1,Lebanon
1979,1,Israel
1979,1,Israel
1979,1,Syria
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Lebanon
1979,1,Iran
1979,1,Lebanon
1979,1,Iran
1979,1,Iran
1979,1,Lebanon
1979,1,Israel
1979,1,Israel
1979,1,West Bank and Gaza Strip
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Syria
1979,1,Turkey
1979,1,Israel
1979,1,Lebanon
1979,1,Libya
1979,1,Lebanon
1979,1,Turkey
1979,1,Israel
1979,1,Iran
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,West Bank and Gaza Strip
1979,1,West Bank and Gaza Strip
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Lebanon
1979,1,Syria
1979,1,Syria
1979,1,Syria
1979,1,Syria
1979,1,Syria
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Lebanon
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Lebanon
1979,1,Syria
1979,1,Turkey
1979,1,Turkey
1979,1,Syria
1979,1,Israel
1979,1,Syria
1979,1,Syria
1979,1,Israel
1979,1,Turkey
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Iran
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,United Arab Emirates
1979,1,Israel
1979,1,Israel
1979,1,Syria
1979,1,Iran
1979,1,Syria
1979,1,Israel
1979,1,Lebanon
1979,1,Iran
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Libya
1979,1,Iran
1979,1,West Bank and Gaza Strip
1979,1,Iran
1979,1,Israel
1979,1,Iran
1979,1,West Bank and Gaza Strip
1979,1,Israel
1979,1,Iran
1979,1,Turkey
1979,1,Iran
1979,1,Israel
1979,1,Iran
1979,1,Turkey
1979,1,Syria
1979,1,Libya
1979,1,Turkey
1979,1,Iran
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Iran
1979,1,West Bank and Gaza Strip
