areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000001,North East,region,2022-10-31,1489
E12000001,North East,region,2022-10-30,1586
E12000001,North East,region,2022-10-29,1672
E12000001,North East,region,2022-10-28,1757
E12000001,North East,region,2022-10-27,1841
E12000001,North East,region,2022-10-26,1927
E12000001,North East,region,2022-10-25,1976
E12000001,North East,region,2022-10-24,2103
E12000001,North East,region,2022-10-23,2239
E12000001,North East,region,2022-10-22,2305
E12000001,North East,region,2022-10-21,2352
E12000001,North East,region,2022-10-20,2364
E12000001,North East,region,2022-10-19,2443
E12000001,North East,region,2022-10-18,2450
E12000001,North East,region,2022-10-17,2454
E12000001,North East,region,2022-10-16,2463
E12000001,North East,region,2022-10-15,2535
E12000001,North East,region,2022-10-14,2593
E12000001,North East,region,2022-10-13,2684
E12000001,North East,region,2022-10-12,2768
E12000001,North East,region,2022-10-11,2891
E12000001,North East,region,2022-10-10,2934
E12000001,North East,region,2022-10-09,2949
E12000001,North East,region,2022-10-08,2934
E12000001,North East,region,2022-10-07,2923
E12000001,North East,region,2022-10-06,2894
E12000001,North East,region,2022-10-05,2857
E12000001,North East,region,2022-10-04,2821
E12000001,North East,region,2022-10-03,2823
E12000001,North East,region,2022-10-02,2783
E12000001,North East,region,2022-10-01,2726
E12000001,North East,region,2022-09-30,2695
E12000001,North East,region,2022-09-29,2643
E12000001,North East,region,2022-09-28,2616
E12000001,North East,region,2022-09-27,2542
E12000001,North East,region,2022-09-26,2510
E12000001,North East,region,2022-09-25,2368
E12000001,North East,region,2022-09-24,2236
E12000001,North East,region,2022-09-23,2113
E12000001,North East,region,2022-09-22,2003
E12000001,North East,region,2022-09-21,1879
E12000001,North East,region,2022-09-20,1831
E12000001,North East,region,2022-09-19,1674
E12000001,North East,region,2022-09-18,1653
E12000001,North East,region,2022-09-17,1676
E12000001,North East,region,2022-09-16,1663
E12000001,North East,region,2022-09-15,1619
E12000001,North East,region,2022-09-14,1573
E12000001,North East,region,2022-09-13,1462
E12000001,North East,region,2022-09-12,1406
E12000001,North East,region,2022-09-11,1390
E12000001,North East,region,2022-09-10,1360
E12000001,North East,region,2022-09-09,1379
E12000001,North East,region,2022-09-08,1361
E12000001,North East,region,2022-09-07,1329
E12000001,North East,region,2022-09-06,1316
E12000001,North East,region,2022-09-05,1344
E12000001,North East,region,2022-09-04,1297
E12000001,North East,region,2022-09-03,1239
E12000001,North East,region,2022-09-02,1215
E12000001,North East,region,2022-09-01,1228
E12000001,North East,region,2022-08-31,1222
E12000001,North East,region,2022-08-30,1265
E12000001,North East,region,2022-08-29,1241
E12000001,North East,region,2022-08-28,1252
E12000001,North East,region,2022-08-27,1314
E12000001,North East,region,2022-08-26,1307
E12000001,North East,region,2022-08-25,1302
E12000001,North East,region,2022-08-24,1328
E12000001,North East,region,2022-08-23,1327
E12000001,North East,region,2022-08-22,1341
E12000001,North East,region,2022-08-21,1391
E12000001,North East,region,2022-08-20,1442
E12000001,North East,region,2022-08-19,1501
E12000001,North East,region,2022-08-18,1594
E12000001,North East,region,2022-08-17,1622
E12000001,North East,region,2022-08-16,1717
E12000001,North East,region,2022-08-15,1833
E12000001,North East,region,2022-08-14,1877
E12000001,North East,region,2022-08-13,1911
E12000001,North East,region,2022-08-12,1961
E12000001,North East,region,2022-08-11,2044
E12000001,North East,region,2022-08-10,2168
E12000001,North East,region,2022-08-09,2206
E12000001,North East,region,2022-08-08,2237
E12000001,North East,region,2022-08-07,2402
E12000001,North East,region,2022-08-06,2507
E12000001,North East,region,2022-08-05,2568
E12000001,North East,region,2022-08-04,2580
E12000001,North East,region,2022-08-03,2621
E12000001,North East,region,2022-08-02,2722
E12000001,North East,region,2022-08-01,2820
E12000001,North East,region,2022-07-31,2880
E12000001,North East,region,2022-07-30,2993
E12000001,North East,region,2022-07-29,3112
E12000001,North East,region,2022-07-28,3284
E12000001,North East,region,2022-07-27,3471
E12000001,North East,region,2022-07-26,3707
E12000001,North East,region,2022-07-25,3915
E12000001,North East,region,2022-07-24,4196
E12000001,North East,region,2022-07-23,4421
E12000001,North East,region,2022-07-22,4630
E12000001,North East,region,2022-07-21,4852
E12000001,North East,region,2022-07-20,5125
E12000001,North East,region,2022-07-19,5411
E12000001,North East,region,2022-07-18,5835
