date,Date,CDID,Value,series
2005 OCT,2005-10-15,WUMQ,.07,Health
2005 OCT,2005-10-15,WUMW,.87,Transport
2005 OCT,2005-10-15,WUMX,-.04,Communication
2005 OCT,2005-10-15,WUNC,-.23,RecreationCulture
2005 OCT,2005-10-15,WUND,.08,Education
2005 OCT,2005-10-15,WUNE,.52,RestaurantsHotels
2005 OCT,2005-10-15,WUNG,.46,Misc
2005 SEP,2005-09-15,WUMA,.2,Food
2005 SEP,2005-09-15,WUMB,.07,AlcoholTobacco
2005 SEP,2005-09-15,WUMC,-.34,ClothingFootwear
2005 SEP,2005-09-15,WUMD,.67,HousingHouseService
2005 SEP,2005-09-15,WUMP,.02,FurnitureHousehold
2005 SEP,2005-09-15,WUMQ,.07,Health
2005 SEP,2005-09-15,WUMW,.9,Transport
2005 SEP,2005-09-15,WUMX,-.03,Communication
2005 SEP,2005-09-15,WUNC,-.24,RecreationCulture
2005 SEP,2005-09-15,WUND,.08,Education
2005 SEP,2005-09-15,WUNE,.52,RestaurantsHotels
2005 SEP,2005-09-15,WUNG,.55,Misc
2006 APR,2006-04-15,WUMA,.04,Food
2006 APR,2006-04-15,WUMB,.11,AlcoholTobacco
2006 APR,2006-04-15,WUMC,-.29,ClothingFootwear
2006 APR,2006-04-15,WUMD,.8100000000000001,HousingHouseService
2006 APR,2006-04-15,WUMP,-.08,FurnitureHousehold
2006 APR,2006-04-15,WUMQ,.07,Health
2006 APR,2006-04-15,WUMW,.67,Transport
2006 APR,2006-04-15,WUMX,.01,Communication
2006 APR,2006-04-15,WUNC,-.24,RecreationCulture
2006 APR,2006-04-15,WUND,.08,Education
2006 APR,2006-04-15,WUNE,.41,RestaurantsHotels
2006 APR,2006-04-15,WUNG,.44,Misc
2006 AUG,2006-08-15,WUMA,.35,Food
2006 AUG,2006-08-15,WUMB,.14,AlcoholTobacco
2006 AUG,2006-08-15,WUMC,-.26,ClothingFootwear
2006 AUG,2006-08-15,WUMD,1.11,HousingHouseService
2006 AUG,2006-08-15,WUMP,-.06,FurnitureHousehold
2006 AUG,2006-08-15,WUMQ,.06,Health
2006 AUG,2006-08-15,WUMW,.39,Transport
2006 AUG,2006-08-15,WUMX,-.02,Communication
2006 AUG,2006-08-15,WUNC,-.14,RecreationCulture
2006 AUG,2006-08-15,WUND,.08,Education
2006 AUG,2006-08-15,WUNE,.41,RestaurantsHotels
2006 AUG,2006-08-15,WUNG,.41,Misc
2006 DEC,2006-12-15,WUMA,.47,Food
2006 DEC,2006-12-15,WUMB,.12,AlcoholTobacco
2006 DEC,2006-12-15,WUMC,-.27,ClothingFootwear
2006 DEC,2006-12-15,WUMD,1.22,HousingHouseService
2006 DEC,2006-12-15,WUMP,.06,FurnitureHousehold
2006 DEC,2006-12-15,WUMQ,.09,Health
2006 DEC,2006-12-15,WUMW,.32,Transport
2006 DEC,2006-12-15,WUMX,.01,Communication
2006 DEC,2006-12-15,WUNC,-.05,RecreationCulture
2006 DEC,2006-12-15,WUND,.24,Education
2006 DEC,2006-12-15,WUNE,.43,RestaurantsHotels
2006 DEC,2006-12-15,WUNG,.34,Misc
2006 FEB,2006-02-15,WUMA,.12,Food
2006 FEB,2006-02-15,WUMB,.07,AlcoholTobacco
2006 FEB,2006-02-15,WUMC,-.31,ClothingFootwear
2006 FEB,2006-02-15,WUMD,.67,HousingHouseService
2006 FEB,2006-02-15,WUMP,-.06,FurnitureHousehold
2006 FEB,2006-02-15,WUMQ,.06,Health
2006 FEB,2006-02-15,WUMW,.64,Transport
2006 FEB,2006-02-15,WUMX,.01,Communication
2006 FEB,2006-02-15,WUNC,-.12,RecreationCulture
2006 FEB,2006-02-15,WUND,.08,Education
2006 FEB,2006-02-15,WUNE,.49,RestaurantsHotels
2006 FEB,2006-02-15,WUNG,.4,Misc
2006 JAN,2006-01-15,WUMA,.13,Food
2006 JAN,2006-01-15,WUMB,.1,AlcoholTobacco
2006 JAN,2006-01-15,WUMC,-.31,ClothingFootwear
2006 JAN,2006-01-15,WUMD,.66,HousingHouseService
2006 JAN,2006-01-15,WUMP,-.08,FurnitureHousehold
2006 JAN,2006-01-15,WUMQ,.06,Health
2006 JAN,2006-01-15,WUMW,.75,Transport
2006 JAN,2006-01-15,WUMX,.01,Communication
2006 JAN,2006-01-15,WUNC,-.31,RecreationCulture
2006 JAN,2006-01-15,WUND,.08,Education
2006 JAN,2006-01-15,WUNE,.48,RestaurantsHotels
2006 JAN,2006-01-15,WUNG,.39,Misc
2006 JUL,2006-07-15,WUMA,.33,Food
2006 JUL,2006-07-15,WUMB,.12,AlcoholTobacco
2006 JUL,2006-07-15,WUMC,-.31,ClothingFootwear
2006 JUL,2006-07-15,WUMD,1.06,HousingHouseService
2006 JUL,2006-07-15,WUMP,-.12,FurnitureHousehold
2006 JUL,2006-07-15,WUMQ,.06,Health
2006 JUL,2006-07-15,WUMW,.53,Transport
2006 JUL,2006-07-15,WUMX,.01,Communication
2006 JUL,2006-07-15,WUNC,-.2,RecreationCulture
2006 JUL,2006-07-15,WUND,.08,Education
2006 JUL,2006-07-15,WUNE,.43,RestaurantsHotels
2006 JUL,2006-07-15,WUNG,.39,Misc
2006 JUN,2006-06-15,WUMA,.19,Food
2006 JUN,2006-06-15,WUMB,.14,AlcoholTobacco
2006 JUN,2006-06-15,WUMC,-.26,ClothingFootwear
2006 JUN,2006-06-15,WUMD,1.03,HousingHouseService
2006 JUN,2006-06-15,WUMP,-.02,FurnitureHousehold
2006 JUN,2006-06-15,WUMQ,.07,Health
2006 JUN,2006-06-15,WUMW,.59,Transport
2006 JUN,2006-06-15,WUMX,-.01,Communication
2006 JUN,2006-06-15,WUNC,-.24,RecreationCulture
2006 JUN,2006-06-15,WUND,.08,Education
2006 JUN,2006-06-15,WUNE,.44,RestaurantsHotels
2006 JUN,2006-06-15,WUNG,.47,Misc
2006 MAR,2006-03-15,WUMA,-.04,Food
2006 MAR,2006-03-15,WUMB,.11,AlcoholTobacco
2006 MAR,2006-03-15,WUMC,-.31,ClothingFootwear
2006 MAR,2006-03-15,WUMD,.73,HousingHouseService
2006 MAR,2006-03-15,WUMP,-.04,FurnitureHousehold
2006 MAR,2006-03-15,WUMQ,.05,Health
2006 MAR,2006-03-15,WUMW,.53,Transport
2006 MAR,2006-03-15,WUMX,.01,Communication
2006 MAR,2006-03-15,WUNC,-.2,RecreationCulture
2006 MAR,2006-03-15,WUND,.08,Education
2006 MAR,2006-03-15,WUNE,.49,RestaurantsHotels
2006 MAR,2006-03-15,WUNG,.4,Misc
2006 MAY,2006-05-15,WUMA,.12,Food
2006 MAY,2006-05-15,WUMB,.1,AlcoholTobacco
2006 MAY,2006-05-15,WUMC,-.24,ClothingFootwear
2006 MAY,2006-05-15,WUMD,.95,HousingHouseService
2006 MAY,2006-05-15,WUMP,-.07,FurnitureHousehold
2006 MAY,2006-05-15,WUMQ,.07,Health
2006 MAY,2006-05-15,WUMW,.6,Transport
2006 MAY,2006-05-15,WUMX,-.01,Communication
2006 MAY,2006-05-15,WUNC,-.23,RecreationCulture
2006 MAY,2006-05-15,WUND,.08,Education
2006 MAY,2006-05-15,WUNE,.44,RestaurantsHotels
2006 MAY,2006-05-15,WUNG,.44,Misc
2006 NOV,2006-11-15,WUMA,.51,Food
2006 NOV,2006-11-15,WUMB,.12,AlcoholTobacco
2006 NOV,2006-11-15,WUMC,-.21,ClothingFootwear
2006 NOV,2006-11-15,WUMD,1.19,HousingHouseService
2006 NOV,2006-11-15,WUMP,-.05,FurnitureHousehold
2006 NOV,2006-11-15,WUMQ,.07,Health
2006 NOV,2006-11-15,WUMW,.12,Transport
2006 NOV,2006-11-15,WUMX,.02,Communication
2006 NOV,2006-11-15,WUNC,-.11,RecreationCulture
2006 NOV,2006-11-15,WUND,.24,Education
2006 NOV,2006-11-15,WUNE,.43,RestaurantsHotels
2006 NOV,2006-11-15,WUNG,.37,Misc
2006 OCT,2006-10-15,WUMA,.48,Food
2006 OCT,2006-10-15,WUMB,.14,AlcoholTobacco
2006 OCT,2006-10-15,WUMC,-.21,ClothingFootwear
2006 OCT,2006-10-15,WUMD,1.15,HousingHouseService
2006 OCT,2006-10-15,WUMP,-.05,FurnitureHousehold
2006 OCT,2006-10-15,WUMQ,.07,Health
2006 OCT,2006-10-15,WUMW,-.07,Transport
2006 OCT,2006-10-15,WUMX,.02,Communication
2006 OCT,2006-10-15,WUNC,-.16,RecreationCulture
2006 OCT,2006-10-15,WUND,.24,Education
2006 OCT,2006-10-15,WUNE,.41,RestaurantsHotels
2006 OCT,2006-10-15,WUNG,.4,Misc
2006 SEP,2006-09-15,WUMA,.4,Food
2006 SEP,2006-09-15,WUMB,.15,AlcoholTobacco
2006 SEP,2006-09-15,WUMC,-.23,ClothingFootwear
2006 SEP,2006-09-15,WUMD,1.13,HousingHouseService
2006 SEP,2006-09-15,WUMP,.02,FurnitureHousehold
2006 SEP,2006-09-15,WUMQ,.07,Health
2006 SEP,2006-09-15,WUMW,.11,Transport
2006 SEP,2006-09-15,WUMX,0,Communication
2006 SEP,2006-09-15,WUNC,-.15,RecreationCulture
2006 SEP,2006-09-15,WUND,.12,Education
2006 SEP,2006-09-15,WUNE,.39,RestaurantsHotels
2006 SEP,2006-09-15,WUNG,.42,Misc
2007 APR,2007-04-15,WUMA,.61,Food
2007 APR,2007-04-15,WUMB,.2,AlcoholTobacco
2007 APR,2007-04-15,WUMC,-.18,ClothingFootwear
2007 APR,2007-04-15,WUMD,.87,HousingHouseService
2007 APR,2007-04-15,WUMP,.19,FurnitureHousehold
2007 APR,2007-04-15,WUMQ,.08,Health
2007 APR,2007-04-15,WUMW,.23,Transport
2007 APR,2007-04-15,WUMX,-.09,Communication
2007 APR,2007-04-15,WUNC,-.13,RecreationCulture
2007 APR,2007-04-15,WUND,.24,Education
2007 APR,2007-04-15,WUNE,.51,RestaurantsHotels
2007 APR,2007-04-15,WUNG,.25,Misc
2007 AUG,2007-08-15,WUMA,.3,Food
2007 AUG,2007-08-15,WUMB,.14,AlcoholTobacco
2007 AUG,2007-08-15,WUMC,-.22,ClothingFootwear
2007 AUG,2007-08-15,WUMD,.31,HousingHouseService
2007 AUG,2007-08-15,WUMP,.11,FurnitureHousehold
2007 AUG,2007-08-15,WUMQ,.08,Health
2007 AUG,2007-08-15,WUMW,.42,Transport
2007 AUG,2007-08-15,WUMX,-.05,Communication
2007 AUG,2007-08-15,WUNC,-.15,RecreationCulture
2007 AUG,2007-08-15,WUND,.23,Education
2007 AUG,2007-08-15,WUNE,.49,RestaurantsHotels
2007 AUG,2007-08-15,WUNG,.11,Misc
2007 DEC,2007-12-15,WUMA,.5600000000000001,Food
2007 DEC,2007-12-15,WUMB,.11,AlcoholTobacco
2007 DEC,2007-12-15,WUMC,-.24,ClothingFootwear
2007 DEC,2007-12-15,WUMD,.02,HousingHouseService
2007 DEC,2007-12-15,WUMP,.08,FurnitureHousehold
2007 DEC,2007-12-15,WUMQ,.08,Health
2007 DEC,2007-12-15,WUMW,.88,Transport
