areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate
E92000001,England,nation,2022-05-26,5293,60
E92000001,England,nation,2022-05-25,5810,91
E92000001,England,nation,2022-05-24,6352,127
E92000001,England,nation,2022-05-23,14592,85
E92000001,England,nation,2022-05-22,0,0
E92000001,England,nation,2022-05-21,0,0
E92000001,England,nation,2022-05-20,6003,80
E92000001,England,nation,2022-05-19,6704,123
E92000001,England,nation,2022-05-18,7388,122
E92000001,England,nation,2022-05-17,8102,181
E92000001,England,nation,2022-05-16,16903,128
E92000001,England,nation,2022-05-15,0,0
E92000001,England,nation,2022-05-14,0,0
E92000001,England,nation,2022-05-13,6511,141
E92000001,England,nation,2022-05-12,10874,128
E92000001,England,nation,2022-05-11,8036,200
E92000001,England,nation,2022-05-10,9751,272
E92000001,England,nation,2022-05-09,21712,180
E92000001,England,nation,2022-05-08,0,0
E92000001,England,nation,2022-05-07,0,0
E92000001,England,nation,2022-05-06,9405,203
E92000001,England,nation,2022-05-05,10311,393
E92000001,England,nation,2022-05-04,14596,195
E92000001,England,nation,2022-05-03,29029,367
E92000001,England,nation,2022-05-02,0,0
E92000001,England,nation,2022-05-01,0,0
E92000001,England,nation,2022-04-30,0,0
E92000001,England,nation,2022-04-29,9705,182
E92000001,England,nation,2022-04-28,10945,204
E92000001,England,nation,2022-04-27,13481,262
E92000001,England,nation,2022-04-26,13045,413
E92000001,England,nation,2022-04-25,35925,294
E92000001,England,nation,2022-04-24,0,0
E92000001,England,nation,2022-04-23,0,0
E92000001,England,nation,2022-04-22,15832,243
E92000001,England,nation,2022-04-21,18475,624
E92000001,England,nation,2022-04-20,20767,443
E92000001,England,nation,2022-04-19,93281,411
E92000001,England,nation,2022-04-18,0,0
E92000001,England,nation,2022-04-17,0,0
E92000001,England,nation,2022-04-16,0,0
E92000001,England,nation,2022-04-15,0,0
E92000001,England,nation,2022-04-14,27283,295
E92000001,England,nation,2022-04-13,29335,615
E92000001,England,nation,2022-04-12,31230,240
E92000001,England,nation,2022-04-11,75194,301
E92000001,England,nation,2022-04-10,0,0
E92000001,England,nation,2022-04-09,0,0
E92000001,England,nation,2022-04-08,33782,302
E92000001,England,nation,2022-04-07,38678,274
E92000001,England,nation,2022-04-06,42392,184
E92000001,England,nation,2022-04-05,41436,313
E92000001,England,nation,2022-04-04,122027,152
E92000001,England,nation,2022-04-03,0,0
E92000001,England,nation,2022-04-02,0,0
E92000001,England,nation,2022-04-01,60220,134
E92000001,England,nation,2022-03-31,62816,136
E92000001,England,nation,2022-03-30,74419,156
E92000001,England,nation,2022-03-29,64935,251
E92000001,England,nation,2022-03-28,183459,143
E92000001,England,nation,2022-03-27,0,0
E92000001,England,nation,2022-03-26,0,0
E92000001,England,nation,2022-03-25,63371,123
E92000001,England,nation,2022-03-24,79373,111
E92000001,England,nation,2022-03-23,85916,137
E92000001,England,nation,2022-03-22,74804,200
E92000001,England,nation,2022-03-21,188925,127
