areaCode,areaName,areaType,date,newDeaths28DaysByPublishDate
E12000001,North East,region,2021-07-30,5
E12000001,North East,region,2021-07-29,4
E12000001,North East,region,2021-07-28,7
E12000001,North East,region,2021-07-27,15
E12000001,North East,region,2021-07-26,0
E12000001,North East,region,2021-07-25,8
E12000001,North East,region,2021-07-24,9
E12000001,North East,region,2021-07-23,7
E12000001,North East,region,2021-07-22,7
E12000001,North East,region,2021-07-21,6
E12000001,North East,region,2021-07-20,6
E12000001,North East,region,2021-07-19,1
E12000001,North East,region,2021-07-18,0
E12000001,North East,region,2021-07-17,4
E12000001,North East,region,2021-07-16,8
E12000001,North East,region,2021-07-15,7
E12000001,North East,region,2021-07-14,4
E12000001,North East,region,2021-07-13,4
E12000001,North East,region,2021-07-12,1
E12000001,North East,region,2021-07-11,2
E12000001,North East,region,2021-07-10,1
